P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P03014515T0000|0 25|Human alpha-galactosidase A
P07961958T0000|0 25|Rat kidney carboxylesterase
P09545638A0836|0 25|Recombinant HRMT1L2 protein
P09421521T0000|0 25|Holliday junction resolvase
P07628389A0145|0 25|Tumor necrosis factor-alpha
P07963540A0795|0 24|Recombinant I-kappa B alpha
P02489032A0000|0 24|Immunoglobulin light chain
P09047344A0000|0 25|Calmodulin-binding peptide
P09360993T0000|0 22|Mouse mast cell protease 9
P10212284A0000|0 24|Transforming growth factor
P08917449A0000|0 25|Leukemia-inhibitory factor
P08925545T0001|0 25|Recombinant erythropoietin
P10196318T0000|0 24|CCAAT displacement protein
P09924987A0000|0 24|Pokeweed antiviral protein
P02648646A0216|0 24|Platelet activating factor
P01694525A0000|0 23|Isopenicillin N isomerase
P10811804A0000|0 24|Mitogen-activated protein
P10232600T0000|0 24|Prostate-specific antigen
P09380507A0514|0 24|Glutathione S-transferase
P10452951A0000|0 23|Nuclear hormone receptors
P10402467T0000|0 22|Myosin light chain kinase
P07688112A0274|0 23|Prostate specific antigen
P09763470A0000|0 24|Dopamine beta-hydroxylase
P02739739T0000|0 23|COUP transcription factor
P08647086T0000|0 24|Cyclin-dependent kinase-2
P00780639X0000|0 23|Carcinoembryonic antigen
P02392511T0000|0 22|Serotonin 5-HT2 receptor
P07557276A0526|0 23|Alanine aminotransferase
P08188258A0000|0 23|Glutamyl-tRNA synthetase
P01572549A0000|0 22|Protein tyrosine kinases
P10799590A0431|0 22|Jkappa DNA-binding sites
P09748261A0000|0 23|Saccharomyces cerevisiae
P09773975A1873|0 22|Wild-type AT1A receptors
P11356835A0000|0 23|Saccharomyces cerevisiae
P09521907A0190|0 23|Drosophila orthodenticle
P10611320A0816|0 23|Saccharomyces cerevisiae
P01992953T0000|0 23|Alanine aminotransferase
P07112320A0086|0 21|CSF adenosine deaminase
P09670943T0000|0 20|B cell antigen receptor
P08824798A0761|0 21|Human ESP1/CRP2 protein
P09234727A0770|0 21|Gal4-Eed fusion protein
P08871635A0000|0 20|B cell antigen receptor
P02572777T0000|0 20|Tumour necrosis factor
P09312025T0000|0 20|Protein phosphatase 2A
P02209811T0000|0 21|Horseradish peroxidase
P04518624T0000|0 21|Glutathione peroxidase
P09914500A0000|0 19|Nuclear factor kappa B
P11223240A0655|0 20|Drosophila Menin1 gene
P08389453A0193|0 20|Uracil DNA glycosylase
P08395654T0000|0 20|Steroidogenic factor 1
P02252891T0000|0 20|65-kilodalton protein
P08955159A0000|0 19|Human acid ceramidase
P07693975T0000|0 20|Reverse transcriptase
P09099683A0000|0 20|Diacylglycerol kinase
P09712898T0000|0 19|Tumor necrosis factor
P06795119T0000|0 19|Lens aldose reductase
P10606664A0000|0 19|Snail family proteins
P02669199A0000|0 19|Tumor necrosis factor
P09218459A0000|0 19|Serum response factor
P01330077A0000|0 18|T-cell receptor beta
P08473731A0149|0 18|B cell-specific mb-1
P10542269A0000|0 19|Amyloid beta-protein
P09521909A0081|0 19|APETALA3 transcripts
P08627354A0000|0 19|Vertebrate synapsins
P07841663A0685|0 19|Superoxide dismutase
P02761008X0000|0 19|Brain cholinesterase
P01083375T0000|0 18|Alpha-1 antitrypsin
P09003312A0740|0 18|Full-length AT-PHH1
P11027724A0335|0 18|Recombinant BRI1-KD
P08107167A0222|0 18|Anti-B. burgdorferi
P11158236A0000|0 17|Nerve growth factor
P08166402A0631|0 18|Cerebral125 albumin
P08887647T0000|0 17|Fission yeast mal2+
P02196565T0000|0 17|Yeast Gal11 protein
P02293019A0000|0 19|Antileukoproteinase
P08776901A0000|0 18|Chloroplast mutator
P01822995T0000|0 17|Maize rbcS promoter
P10980416T0000|0 18|Parathyroid hormone
P09622121A0525|0 18|Anti-PTB antibodies
P01437562A0462|0 18|Anti-CRK antibodies
P09751061A0000|0 18|POU-domain proteins
P01918010A0000|0 17|Lipoprotein lipase
P07929559A0000|0 17|Cytoplasmic dynein
P08932385T0000|0 16|Small Maf proteins
P07891713T0000|0 16|Small Maf proteins
P08268718A0676|0 16|Human bcl3 protein
P03428274A0000|0 16|Nuclear factor III
P07811639A0222|0 17|Endo16 transcripts
P06718064T0001|0 17|Plasma lactoferrin
P07559524A0741|0 16|Cyclin D1 promoter
P01316903A1040|0 16|RNA polymerase IIA
P09790771A0956|0 17|Gng3lg transcripts
P10872827A0000|0 17|Penicillin acylase
P11207269A0745|0 17|Anti-nucleolin mAb
P00818380A0239|0 16|Rheumatoid factor
P01441818T0001|0 15|Interferon type I
P08661007T0000|0 15|Human MN/CA9 gene
P01624425A0907|0 16|Wild-type protein
P09837913A0000|0 15|Type 2 deiodinase
P02566613T0000|0 16|Somatostatin gene
P09353343A0919|0 15|RNA polymerase II
P09819038A0448|0 16|Recombinant FVIIa
P11063169T0000|0 15|Botulinum toxin A
P10205176A0000|0 16|Nuclear receptors
P10819327T0000|0 15|C. elegans KLP-11
P01310935T0000|0 15|Drosophila UbcD1
P07791783A0000|0 15|SRY-related cDNA
P02002051T0000|0 13|Isoform C beta 2
P10323463T0000b|0 16|Interferon-alpha
P06402859A0000|0 15|Antithrombin III
P09525888A1482|0 15|Full-length FLAP
P10209759T0000|0 15|Antithrombin III
P06702257T0001|0 15|Antithrombin III
P08654390A0000|0 14|Heme oxygenase 1
P08670910A0156|0 14|DNA polymerase E
P10897973T0001|0 15|Antithrombin III
P10882850A0000|0 15|Endonuclease III
P10094396A0000|0 15|Topoisomerase II
P07559233A0534|0 15|Citrate synthase
P09884275T0000|0 16|Interferon-alpha
P07575416A0000|0 14|Protein kinase C
P11552922A0361|0 15|CYP2C19 genotype
P08453101A0128|0 15|Pokeweed mitogen
P10323463T0000a|0 16|Interferon-alpha
P03143048A1091|0 15|HDL-cholesterol
P08825554A0000|0 15|Tristetraprolin
P09914525A0890|0 14|Recombinant Ffh
P08923470A0458|0 13|PPAR gamma mRNA
P09098899A0000|0 13|Coliphage 186 B
P10490955T0000|0 13|Beta 1 integrin
P08348919T0000|0 14|Botulinum toxin
P08396749A1112a|0 14|LDL cholesterol
P04139081T0001|0 14|HL-A antibodies
P06152670T0000|0 14|Plasma secretin
P02527365T0000|0 14|Xenopus homolog
P09606633A0523|0 14|Interferon beta
P09541636T0000|0 14|Creatine kinase
P08663120T0000|0 14|Oncogenic Raf-1
P03937294A0404|0 14|Plasma secretin
P08396749A1112b|0 14|LDL cholesterol
P00072928T0000|0 14|Serum-ferritin
P05027295T0034|0 14|Cholinesterase
P09079928A0525|0 12|M. leprae OxyR
P09346238T0000|0 13|F-box proteins
P09427627T0000|0 14|Small-molecule
P09317131A0000|0 12|Ig heavy chain
P11313386A0704|0 13|SH2D1A protein
P09630245A0102|0 12|Yeast U1 snRNP
P09346938A1680|0 14|Ki-ras4BVal-12
P02557217A0000|0 14|Beta-endorphin
P06513456T0001|0 13|Adenyl cyclase
P08013348A0143|0 13|Mammalian ABPs
P10505694A0000|0 14|Interleukin-12
P07685823A1234|0 13|RNA polymerase
P10488148T0000|0 12|ERK MAP kinase
P10850719A0680|0 13|Vbeta segments
P01116466A0185|0 14|Thromboplastin
P10628750T0000|0 13|Angiotensin II
P06938948T0001|0 12|Secretory IgA
P07806532A0659|0 12|Protein cHMGI
P08245461A0700|0 12|Hu-Met-1 mRNA
P11027280A0536|0 11|Cam kinase II
P10633075A1111|0 12|Preimmune IgG
P02943562T0000|0 13|Penicillinase
P09211354A0000|0 13|Stromelysin-1
P11059786A0682|0 12|VEGF promoter
P06802500T0001|0 13|Thyreoliberin
P07518426A0000|0 13|Interleukin-8
P09397261A0940|0 13|Interleukin-1
P07779558T0000|0 12|Muscle GSH-Px
P09452444A0000|0 13|Interleukin-6
P09538156A0130|0 12|BRCA1 protein
P09524276A0939|0 12|LysR proteins
P09795213A0129|0 12|RBP56 protein
P08871567A0000|0 12|MSSP proteins
P07519606A1269|0 13|Anti-NPROSP-C
P08281536A0626|0 13|Interleukin-6
P01317376A0981|0 12|Fructokinase
P06429992T0000|0 12|Gonadotropin
P09819421A0000|0 12|Cyclophilins
P10428811A1067|0 11|Cat proteins
P10446131A0132|0 11|PDGF A-chain
P09533030T0000|0 11|Cytochrome b
P11279038A0194|0 11|WRN helicase
P09642227A0000|0 12|Osteoadherin
P09544991A0483|0 11|PRL receptor
P10551816A0162|0 11|Human LTBP-1
P09148770A0977|0 11|Cellular Csk
P11116084A0000|0 11|Mouse Impact
P08575614A0264|0 11|Rad6 mutants
P09418040T0000|0 12|Mg-chelatase
P09395470A0294|0 12|CKbeta4GT-II
P00676790T0000|0 11|Angiotensin
P02542612A0530|0 10|S1 nuclease
P11560990A0272|0 10|E47 protein
P09790768A0621|0 11|Htra2-beta3
P06797063A0000|0 10|Factor VIII
P03015628A1078|0 11|Osteocalcin
P08356792T0000|0 10|HTLV-1 gene
P09368026A0000|0 11|Osteocalcin
P02303158T0000|0 11|Thyrotropin
P09050849A0000|0 11|Cytohesin-1
P08555498A0427|0 10|Human LAF-4
P03127463A1017|0 10|Human rIL-3
P08923460A0565|0 10|RUSH-1 beta
P10748125A0000|0 11|Inhibitor-1
P03499657A0000|0 11|Osteocalcin
P02529378A0536|0 10|S1 nuclease
P08144037A0000|0 11|Thioredoxin
P07959011A0379a|0 10|C/EBP alpha
P01526658A0454|0 9|IFI 16 mRNA
P07959011A0379b|0 10|C/EBP alpha
P08106369A0000|0 11|Vasopressin
P08118044A0318|0 10|GATA-1 mRNA
P10489680A0927|0 10|Sputum IL-8
P08702543A0000|0 11|Gap1(IP4BP)
P10344736A0796|0 10|CDK4 kinase
P06110026T0000|0 10|Endorphins
P09677405A0856|0 10|Pol32Delta
P09693035T0000|0 9|Human ULK1
P09704006A0224|0 9|Arnt3 mRNA
P09813098A0521|0 10|Paralemmin
P09651321A0000|0 9|Cystatin A
P08626437A0332|0 9|Lyn kinase
P11131634A0955|0 8|NF kappa B
P11123316T0000|0 9|Tec kinase
P07565669T0000|0 9|Ras p21Val
P09368760A0665|0 9|Human PDK1
P07635572A1153|0 9|CIITA mRNA
P11433024A0260|0 10|Telomerase
P09242551A0653|0 9|EBER1 mRNA
P09079625A0935|0 10|Syndecan-4
P11137296A1216|0 9|PFK-A mRNA
P08634420A1784|0 9|HuEpo-R Ab
P08264664A0128|0 8|TGF beta 1
P10840001A0188|0 9|Mucin gene
P10531446A0203|0 10|Neuregulin
P10744026A0000|0 10|Invertases
P01695905A0480|0 9|GLUT5 mRNA
P11311980A1049|0 10|GABA(B)R1g
P07293327T0001|0 10|Fibrinogen
P00054900A0226|0 10|Peroxydase
P06977605T0000|0 10|Endorphins
P11350957A0457|0 9|PACAP mRNA
P01380062A0097|0 8|T antigen
P09916809A0405|0 8|Human MGP
P07652582A0000|0 9|INF-alpha
P10373507A0680|0 9|SRFDelta5
P10429184A0000|0 9|Expansins
P10384129A0000|0 8|TCR alpha
P09111314A0970|0 8|Cyclin D1
P09933428A0351|0 9|IFN-gamma
P09716179A0974|0 9|RXR-gamma
P09506439A2179|0 9|PKC-gamma
P09776360A1781|0 9|NF-kappaB
P10553551A0000|0 8|Factor XI
P10523674A0000|0 8|RNase MRP
P09393771A1659|0 9|TNF-alpha
P10488148A0111|0 9|NF-kappaB
P09139694A0789|0 9|CTF1alpha
P08808707A0631|0 9|Ha-RasV12
P11063742A0000|0 9|NF-kappaB
P08643578A0000|0 9|RAS2val19
P07535768A1076|0 8|HVH2 mRNA
P10946303A0000|0 9|TNF-alpha
P09420234A0654|0 8|MpB GroEL
P02144610A1306|0 8|TCR alpha
P08306959A0278|0 8|IFN alpha
P09139721A0183|0 8|Cyclin G2
P04563045T0000|0 9|1,3-bis(2
P02236064A1178|0 8|S6 kinase
P11312120A1311|0 9|NF-kappaB
P09285789A0712|0 8|Human Duo
P01588965A0000|0 8|GCR1 gene
P08812106T0000|0 8|PCNA mRNA
P11529914T0000|0 9|NF-kappaB
P01916632A0431|0 8|Anti-HBc
P10641037A1371|0 8|AF154055
P11119611A0428|0 8|ORFK10.5
P11239529A0981|0 8|IL-1beta
P09920930A0521|0 7|C3 toxin
P02444507A0240|0 8|Lysozyme
P10713176A0885|0 8|D-cyclin
P09845662A0085|0 8|Collagen
P10713176A0422|0 7|Cyclin A
P10749932A0000|0 8|Paxillin
P03371894A0355|0 8|Vimentin
P10620777A1399|0 8|AB004534
P09254678A0106|0 7|Gtx mRNA
P10544113A0293|0 7|EIAV LTR
P10464291A0597|0 8|IL-1beta
P08454858A0285|0 8|Ig-alpha
P11836303A0518|0 8|TNFalpha
P10215594A1728|0 8|Glucagon
P07293100T0001|0 7|Gastrin
P10743608A1154|0 7|TbRAB31
P11112700A1936|0 7|Plectin
P10542249A0415|0 7|Albumin
P07693672A0259|0 6|DNase I
P06810694A1000|0 6|Apo A-I
P10613816X0000|0 7|Statins
P10773458A0000|0 7|SNAP-23
P10329736A1106|0 7|Insulin
P00083846T0000|0 7|Albumin
P10228155A1293|0 7|SCFFWD1
P09705324A0213|0 6|DNase I
P10350638A0000|0 7|Latexin
P08625806A0263|0 7|Krox-20
P10385915A1341|0 7|D3S1261
P02113174A0957|0 7|Krox-24
P10604583T0000|0 7|Albumin
P10441506A0098|0 7|PKNbeta
P11094072A0842|0 6|DNase I
P09271394A0558|0 6|DNase I
P09169593T0000|0 7|Insulin
P09185183T0000|0 7|Merosin
P11314046A0000|0 7|Cyclins
P08617800A0675|0 6|DNase I
P09712037A0470|0 7|Tctex-1
P09789025A0149|0 7|Galphaq
P08476854A0097|0 6|DNase I
P08628251A1455|0 7|CM-ACO3
P09211934A0722|0 6|DNase I
P08093616A1214|0 6|DNase I
P01081904A0198|0 6|Fibrin
P11223257A0404|0 6|OsBBPI
P06233924T0000|0 6|Fibrin
P02830265A0341|0 6|RPA190
P11220306A0911|0 6|HexA71
P01691184A0995|0 5|Gap b3
P10905349A0329|0 6|Mus81p
P10653697A0133|0 6|Actins
P10851267A0000|0 5|E2F -1
P01394655A0615b|0 6|Urease
P01328219A1397|0 6|NSCL-1
P07816049A0686|0 6|Atcys1
P06395804A0382|0 6|Urease
P11413310A0148|0 6|RANTES
P10433970A0279|0 6|Spfkh1
P09761723A0226|0 6|GETS-1
P11578685A0077|0 6|ICAM-1
P11413148A0573|0 6|STAT5A
P02320008A0651|0 6|TMBr-1
P09651375T0000|0 6|GTPase
P06322183A1070|0 5|NPT II
P09535835A0279|0 6|ROCK-I
P08927612T0000|0 6|Ki-ras
P09187136A0000|0 6|SSeCKS
P09223479A1193|0 5|ORF M1
P09414319A1442|0 6|Y15170
P01649318A0734|0 6|EBNA-2
P01480470A0323|0 6|BiP670
P10339566A0602|0 6|Spc42p
P09328476A0374|0 6|Hprp3p
P10473598A0691|0 6|Skn-1a
P08134115A1161|0 6|MSSP-1
P09001245A0187|0 6|NUP145
P10712512A0506|0 6|Ste18p
P10684967A0000|0 6|NKX2.1
P10551788A0229|0 6|LHbeta
P08648665A1320|0 5|ORF E8
P01581577A1186|0 5|PSI-G
P09704927A0479|0 5|E2F-6
P09710615T0000|0 5|Vam7p
P09584165T0000|0 5|RACK1
P09502720A0214|0 5|CyIIa
P10358075A0984|0 5|DAF16
P10359603A0430|0 5|Vac1p
P09891085A0815|0 5|Nip7p
P08898336A0268|0 5|RNase
P08887661A0138|0 5|IRF-1
P09353255A0159|0 5|Rip1p
P08977235A0134|0 5|G-CSF
P09169853A0000|0 5|Pax-3
P08552095A1115|0 5|Paf1p
P08627667A0132|0 5|ZEBRA
P08522175A0306|0 5|Egd1p
P09407036T0000|0 5|Tcn1p
P09792627A0441|0 5|SRC-1
P09244350A0000|0 5|BRCA1
P09257887A0457|0 5|G-CSF
P09857197A0289|0 5|Yap1p
P08048916A0000|0 4|IGF I
P07959953A0423|0 5|IFI16
P10653359A1297|0 5|Scmh1
P08196618A0473|0 5|PRL-1
P03785212A1128|0 5|RPS14
P02196176A0749|0 5|TREB7
P02204029A0184|0 5|RNase
P07542616A0486|0 5|GCD10
P07579328A0653|0 5|MZF-1
P01695322A0000|0 5|Wnt-1
P01502157A0000|0 5|ME1a1
P01731933T0000b|0 5|Zn(II
P07679390A0721|0 5|RNase
P06775834A0000|0 5|HLA-A
P09002648A0202|0 5|BCL-2
P07542616A0313|0 5|GCD10
P07678006A0472|0 5|RNase
P08504933A0000|0 5|Pit-1
P09797456A0883|0 5|AMY-1
P10400757A0000|0 5|CXCR4
P10407985A0574|0 5|G-CSF
P10891266A0421|0 5|ACE-2
P09848653A0597|0 5|Nhp2p
P11000250A0200|0 5|LMP-1
P11046148A0716|0 5|LMP2A
P11361493T0000|0 5|HIV-1
P11517269A0472|0 5|Pitx2
P11331604A0267|0 5|Srb10
P11264176A0181|0 5|B-myb
P10675610A0279|0 5|MSSPs
P10698937T0000|0 5|TIP30
P11358962A0344|0 5|Foxp1
P07888623A0721|0 5|PMEK1
P09882303A1413|0 5|TRAF2
P08497273T0000|0 5|NF-HB
P09468386A0594|0 5|Pet-1
P09528758T0000|0 5|Rex-1
P09650299A0000|0 5|VirD2
P09065690A0463|0 5|Ume6p
P10915780A1063|0 5|Wnt-1
P09121476T0000|0 5|PRH75
P09058373A0670|0 5|RNase
P07871891A0227|0 5|SUP46
P07972831A0563|0 5|PAI-1
P08576245A0000|0 5|GRP78
P10505694A0739|0 5|IL-12
P10477597A0126|0 5|TRAF2
P10428811A0628|0 5|Cat-1
P10518502T0000|0 5|nos-1
P08575618A1138|0 5|RNase
P08005438A1185|0 5|SPP41
P08072547T0000|0 5|c-Fos
P01731933T0000a|0 5|Zn(II
P08070654A0574|0 5|CDC31
P08898365A0274|0 5|Rss1p
P05362866T0000|0 5|Renin
P10233147A0218|0 5|Ras2p
P00030937A0119|0 4|SGPT
P10487921A0132|0 4|ATF1
P11113201A1114|0 4|Pmt2
P11108720A0124|0 4|S6K2
P11274184A0000|0 4|Nrf2
P11263664T0000|0 4|SIP1
P11560992A0651|0 4|SAPK
P11473254A0000|0 4|NaeI
P11559366T0000|0 4|E2F1
P11287654A0150|0 4|PABP
P11331596A0710|0 4|Prrp
P11387208T0000|0 4|SKP1
P11473261A0587|0 4|Mss4
P10594239A0614|0 4|Tih1
P10894149T0000|0 4|PNRC
P10438950A0580|0 4|IL-1
P08918885A0811|0 4|Kss1
P10850329A0248|0 4|IL-2
P11056019A0926|0 4|MED1
P10393197A0543|0 4|DDP1
P10931950A0869|0 4|Cdk2
P10947840A0762|0 4|Mis3
P11016954A0438|0 4|AGO1
P10810294A0730|0 4|Stat
P10779329T0000|0 4|Slap
P10742114A0486|0 4|Dll3
P10735848A1440|0 4|RegA
P10350454A0000|0 4|MutY
P10487762A0252|0 4|NuA4
P10478848A0331|0 4|SF-1
P09736697A1107|0 4|MEKs
P10721717A0676|0 4|Fgd3
P10490826T0000|0 4|EB-1
P09788739A1096|0 4|CKII
P09880543A0570|0 4|HEED
P09918715A0304|0 4|MotA
P10391903T0000|0 4|Gab2
P10490843A0159|0 4|BCL6
P10544037A0617|0 4|FZD4
P10722661A0146|0 4|CYC2
P09006051A1162|0 4|PrpB
P09020169A0552|0 4|SIM1
P08413274A0452|0 4|MDBP
P10557072A0418|0 4|ULKs
P10640683A0204|0 4|NDRF
P10381570A1355|0 4|Slp1
P08552670A0665|0 4|Abp1
P08510647A1347|0 4|Beg2
P10086725A0000|0 4|MDS1
P09844106A0835|0 4|Pyk2
P09560430A0000|0 4|Ime1
P08336698T0000|0 4|TFEC
P09770378A0641|0 4|EGFR
P08223613A0105|0 4|GGS1
P08106325A0000|0 4|DtxR
P09115279A0345|0 4|Cdc2
P08045431A0894|0 4|HupI
P07954891T0000|0 4|ERV1
P08070654A0000|0 4|KAR1
P09584194A0000|0 4|HEF1
P09475724T0000|0 4|TOR2
P09447963A0223|0 4|Sip1
P09443973A1028|0 4|CES4
P09079689A0472|0 4|MOP5
P07768953T0039|0 4|EEA1
P03275867A0187|0 4|GRFI
P02125016A0145|0 4|PBSX
P03036933A0774|0 4|ACTH
P02779752A0000|0 4|1-(1
P03062370A0000|0 4|GCN4
P02538720A0582|0 4|UbiA
P01825027T0000|0 4|PAS1
P01837842A1410|0 4|CREB
P07791760A0424|0 4|GnRH
P07783641A0591|0 4|CodY
P07665477A0901|0 4|EsaR
P07535593A0714|0 4|CD7+
P07791769A0826|0 4|ICP4
P07499409A0367|0 4|TPBF
P09162092A0675|0 4|MKK3
P08532536A0925|0 4|TIEG
P07557424A0124|0 4|XYL1
P09286981A0147|0 4|ArgR
P01588961A0000|0 4|STP1
P02969819A0814|0 3|Ig D
P08649372A0501|0 4|Clb2
P10564474T0000|0 4|PhoP
P01459451A0478|0 4|GAL4
P10430421T0000|0 4|APOE
P07926748A0383|0 4|NOT4
P08647086A0622|0 4|Cdk2
P08621659A0189|0 4|Gas6
P08139928T0000|0 4|RNP1
P08012448T0000|0 4|INO2
P07914192A0211|0 4|HER2
P07957085A0207|0 4|Cbf3
P07879204T0000|0 4|OKT3
P08509335T0000|0 4|SSG1
P01321277A0664|0 3|ROS
P07629113A0726|0 3|SCA
P02200315A0278|0 3|IgG
P08649405T0000|0 3|Sp1
P08668203A1230|0 3|FTF
P08721999A0727|0 3|U24
P08710377A0577|0 3|Cbl
P02269426A0428|0 3|IST
P08631908A0224|0 3|VDR
P07538173A0307|0 3|MBP
P08131746A0140|0 3|MEK
P08918464A0225|0 3|STK
P09286115T0000|0 3|S2F
P08128629A1164|0 3|CRS
P11150315A1126|0 3|NGF
P07585246T0000|0 3|SL1
P10526670A0236|0 3|Rac
P10918572A0794|0 3|VaI
P08542026A0792|0 3|DAF
P08617238A0334|0 3|TNF
P09716183A1036|0 3|TBP
P11292844A0081|0 3|HSF
P08396667T0000|0 3|BCR
P08566747A0756|0 3|SBF
P11376165T0000|0 3|FLP
P11433379A0000|0 3|SIT
P07951410A1332|0 3|E1A
P07937954A0612|0 3|HBx
P11569900A0660|0 3|APC
P11313946A0449|0 3|RPM
P11278440A0095|0 3|SV1
P02552143A0748|0 3|VP5
P07982964A1017|0 3|ATX
P10858988A0786|0 3|ECP
P11036939A2149|0 3|Dsh
P07665948A0591|0 3|IgE
P01869565A1254|0 3|USF
P11150315A0844|0 3|NGF
P01098592A0567|0 3|IgG
P10207087A0956|0 3|MEF
P10667597A0668|0 3|ZK7
P10773951A0000|0 3|IgM
P09573378A0761|0 3|U73
